last_name; first_name;player_id;year;b_ab;b_home_run;b_strikeout;b_sac_fly;b_reached_on_error;sprint_speed;BIP;a_ROE
Story; Trevor;596115;2021;526;24;139;5;5;28.7;368;0.013586957
Candelario; Jeimer;600869;2021;557;16;135;0;4;27.2;406;0.009852217
Bell; Josh;605137;2021;498;27;101;3;10;26.2;373;0.026809651
Betts; Mookie;605141;2021;466;23;86;5;8;27.1;362;0.022099448
Tapia; Raimel;606132;2021;487;6;70;4;5;28.3;415;0.012048193
Hernandez; Teoscar;606192;2021;550;32;148;2;8;28.5;372;0.021505376
Turner; Trea;607208;2021;595;28;110;4;1;30.7;461;0.002169197
Ramirez; Jose;608070;2021;552;36;87;5;2;28.2;434;0.004608295
Gallo; Joey;608336;2021;498;38;213;1;0;27.4;248;0
Swanson; Dansby;621020;2021;588;27;167;7;7;28.4;401;0.017456359
Newman; Kevin;621028;2021;517;5;41;3;4;28.4;474;0.008438819
Taylor; Chris;621035;2021;507;20;167;3;3;28.8;323;0.009287926
Correa; Carlos;621043;2021;555;26;116;6;5;26.9;419;0.011933174
Olson; Matt;621566;2021;565;39;113;11;2;25.9;424;0.004716981
Alonso; Pete;624413;2021;561;37;127;4;8;26;401;0.019950125
Frazier; Adam;624428;2021;577;5;69;1;1;27.1;504;0.001984127
Soler; Jorge;624585;2021;516;27;142;5;6;26.9;352;0.017045455
Cronenworth; Jake;630105;2021;567;21;90;3;6;28.5;459;0.013071895
Meadows; Austin;640457;2021;518;27;122;8;4;27.5;377;0.01061008
Anderson; Tim;641313;2021;527;17;119;1;9;28;392;0.022959184
Crawford; J.P.;641487;2021;619;9;114;4;2;27.5;500;0.004
Dozier; Hunter;641531;2021;487;16;154;6;0;28.2;323;0
Mancini III; Trey;641820;2021;556;21;143;1;2;26.6;393;0.005089059
McMahon; Ryan;641857;2021;528;23;147;5;1;26.2;363;0.002754821
O'Neill; Tyler;641933;2021;482;34;168;4;7;29.7;284;0.024647887
Rosario; Amed;642708;2021;550;11;120;4;4;29.5;423;0.009456265
Adames; Willy;642715;2021;497;25;156;1;6;28;317;0.018927445
Benintendi; Andrew;643217;2021;493;17;97;6;5;27.6;385;0.012987013
Kiner-Falefa; Isiah;643396;2021;635;8;90;2;9;28;539;0.016697588
Albies; Ozzie;645277;2021;629;30;128;7;4;28.4;478;0.008368201
Devers; Rafael;646240;2021;591;38;143;4;4;26.8;414;0.009661836
Urias; Luis;649966;2021;490;23;116;3;3;26.5;354;0.008474576
